"name","pos","name_cbs","team_cbs","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","sourceName"
"BRYCEPETTY","QB","Bryce Petty","NYJ",1,1,"0",0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"DEREKANDERSON","QB","Derek Anderson","CAR",2,2,"0",0.2,0.1,1.5,0,0,0.1,0.2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"GENOSMITH","QB","Geno Smith","NYJ",3,3,"0",0.7,0.4,4.8,0,0,0.2,0.8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"AUSTINDAVIS","QB","Austin Davis","CLE",4,4,"0",0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"ANDYDALTON","QB","Andy Dalton","CIN",5,5,"0",33.1,19.7,258,2,1.2,4.5,12.7,0.3,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",6,6,"0",34.6,22.3,231,1.2,1.1,2.2,10.8,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"LANDRYJONES","QB","Landry Jones","PIT",7,7,"0",0.2,0.1,1.5,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",8,8,"0",0.6,0.4,4.4,0,0,0.2,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"THADLEWIS","QB","Thad Lewis","PHI",9,9,"0",0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"TREVORSIEMIAN","QB","Trevor Siemian","DEN",10,10,"0",0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",11,11,"0",32.5,20.7,235,1.6,0.8,6.3,38.8,0.3,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"DREWBREES","QB","Drew Brees","NO",12,12,"0",39.8,27.6,324,2,1,1.6,2,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"RYANNASSIB","QB","Ryan Nassib","NYG",13,13,"0",0,0,0.4,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"PHILIPRIVERS","QB","Philip Rivers","SD",14,14,"0",37.4,25.6,299,2.2,1.2,1.2,2.9,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"SEANRENFREE","QB","Sean Renfree","ATL",15,15,"0",0,0,0.3,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"JAMEISWINSTON","QB","Jameis Winston","TB",16,16,"0",31.1,18.6,240,1.4,1.4,2.9,10.9,0.2,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
"PEYTONMANNING","QB","Peyton Manning","DEN",17,17,"0",39.9,24.9,293,1.7,1.4,1.1,2.2,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbs"
