"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"ADRIANPETERSON","RB","espn","Adrian Peterson","MIN",1,1,"9.9",0,0,0,0,0,19.2,88.5,0.2,2.3,19.4,0
"JONATHANSTEWART","RB","espn","Jonathan Stewart","CAR",2,2,"9.9",0,0,0,0,0,17.9,78.8,0.5,0.9,6.1,0
"GREENBAYPACKERS","DST","espn","Green Bay Packers","GB",1,3,"9.9",0,0,0,0,0,0,0,0,0,0,0
"JULIANEDELMAN","WR","espn","Julian Edelman","NE",1,4,"9.6",0,0,0,0,0,0.8,5,0,6.5,68.8,0.6
"DIONLEWIS","RB","espn","Dion Lewis","NE",3,5,"9.4",0,0,0,0,0,6.6,33.3,0.2,4.7,42.9,0.2
"NICKFOLES","QB","espn","Nick Foles","STL",1,6,"9.3",29.2,16.7,187.4,0.8,0.6,1.8,7.3,0.1,0,0,0
"MARTAVISBRYANT","WR","espn","Martavis Bryant","PIT",2,7,"9.3",0,0,0,0,0,0.4,2.5,0,4.3,66.7,0.6
"GREGOLSEN","TE","espn","Greg Olsen","CAR",1,8,"9",0,0,0,0,0,0,0,0,5.1,62,0.5
"BLAIRWALSH","K","espn","Blair Walsh","MIN",1,9,"9",0,0,0,0,0,0,0,0,0,0,0
"MATTBRYANT","K","espn","Matt Bryant","ATL",2,10,"9",0,0,0,0,0,0,0,0,0,0,0
"BUFFALOBILLS","DST","espn","Buffalo Bills","BUF",2,11,"9",0,0,0,0,0,0,0,0,0,0,0
"DEZBRYANT","WR","espn","Dez Bryant","DAL",3,12,"8.9",0,0,0,0,0,0,0,0,5.6,73.7,0.3
"FRANKGORE","RB","espn","Frank Gore","IND",4,13,"8.8",0,0,0,0,0,14.3,52.2,0.3,3.1,25.4,0.1
"LATAVIUSMURRAY","RB","espn","Latavius Murray","OAK",5,14,"8.7",0,0,0,0,0,15.1,60.4,0.2,2.5,19,0.1
"ALLENROBINSON","WR","espn","Allen Robinson","JAC",4,15,"8.7",0,0,0,0,0,0,0,0,5.3,75.8,0.3
