"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"JONATHANSTEWART","RB","espn","Jonathan Stewart","CAR",1,1,"9.9",0,0,0,0,0,16.8,75,0.5,0.9,6.2,0
"ADRIANPETERSON","RB","espn","Adrian Peterson","MIN",2,2,"9.9",0,0,0,0,0,19.3,88.5,0.2,2.3,19.4,0
"GREENBAYPACKERS","DST","espn","Green Bay Packers","GB",1,3,"9.9",0,0,0,0,0,0,0,0,0,0,0
"EDDIELACY","RB","espn","Eddie Lacy","GB",3,4,"9.8",0,0,0,0,0,13.6,55.1,0.4,2.9,20.8,0.1
"DIONLEWIS","RB","espn","Dion Lewis","NE",4,5,"9.7",0,0,0,0,0,7.7,38.4,0.3,4.4,40.2,0.2
"JULIANEDELMAN","WR","espn","Julian Edelman","NE",1,6,"9.6",0,0,0,0,0,0.8,5.1,0,6.5,69,0.6
"NICKFOLES","QB","espn","Nick Foles","STL",1,7,"9.5",28.7,16.5,184.2,0.9,0.6,1.8,7.2,0.1,0,0,0
"DEZBRYANT","WR","espn","Dez Bryant","DAL",2,8,"9.3",0,0,0,0,0,0,0,0,5.7,75,0.4
"MARTAVISBRYANT","WR","espn","Martavis Bryant","PIT",3,9,"9.3",0,0,0,0,0,0.4,2.6,0,4.3,65.5,0.5
"FRANKGORE","RB","espn","Frank Gore","IND",5,10,"9.2",0,0,0,0,0,14.8,54.5,0.3,2.9,23.3,0.1
"TYHILTON","WR","espn","T.Y. Hilton","IND",4,11,"9.2",0,0,0,0,0,0.1,0.7,0,5.1,71.6,0.4
"TRAVISBENJAMIN","WR","espn","Travis Benjamin","CLE",5,12,"9",0,0,0,0,0,0,0,0,4.8,72.1,0.3
"GREGOLSEN","TE","espn","Greg Olsen","CAR",1,13,"9",0,0,0,0,0,0,0,0,5.2,62.9,0.5
"BLAIRWALSH","K","espn","Blair Walsh","MIN",1,14,"9",0,0,0,0,0,0,0,0,0,0,0
"MATTBRYANT","K","espn","Matt Bryant","ATL",2,15,"9",0,0,0,0,0,0,0,0,0,0,0
"BUFFALOBILLS","DST","espn","Buffalo Bills","BUF",2,16,"9",0,0,0,0,0,0,0,0,0,0,0
"RONNIEHILLMAN","RB","espn","Ronnie Hillman","DEN",6,17,"8.8",0,0,0,0,0,13.8,58.1,0.4,1.9,16.2,0.1
"SAMMYWATKINS","WR","espn","Sammy Watkins","BUF",6,18,"8.8",0,0,0,0,0,0.3,1.9,0,4.4,60.6,0.5
