"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"AARONDOBSON","WR","NE","average","Aaron Dobson",1,2015,113,291,0.4,0.28,0.52,0,0,0,0,0,0,0,0,0,0.15,2.5,0,0,0,0,0,0,0,0,0,0,0,0
"AARONDOBSON","WR","NE","averageRobust","Aaron Dobson",1,2015,113,291,0.4,0.28,0.52,0,0,0,0,0,0,0,0,0,0.15,2.5,0,0,0,0,0,0,0,0,0,0,0,0
"AARONDOBSON","WR","NE","averageWeighted","Aaron Dobson",1,2015,113,291,0.4,0.28,0.52,0,0,0,0,0,0,0,0,0,0.15,2.5,0,0,0,0,0,0,0,0,0,0,0,0
"AARONDOBSON","WR","NE","cbs","Aaron Dobson",1,2015,99,256,0.28,0.28,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONDOBSON","WR","NE","espn","Aaron Dobson",1,2015,104,265,0.52,0.28,0.52,0,0,0,0,0,0,0,0,0,0.2,3.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONMURRAY","QB","KC","average","Aaron Murray",2,2015,55,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageRobust","Aaron Murray",2,2015,55,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","averageWeighted","Aaron Murray",2,2015,55,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB","KC","espn","Aaron Murray",2,2015,53,329,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONPETTREY","K","FA","average","Aaron Pettrey",3,2015,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageRobust","Aaron Pettrey",3,2015,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","averageWeighted","Aaron Pettrey",3,2015,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K","FA","espn","Aaron Pettrey",3,2015,1,330,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRIPKOWSKI","RB","GB","average","Aaron Ripkowski",4,2015,105,361,0.02,0.02,0.02,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB","GB","averageRobust","Aaron Ripkowski",4,2015,105,361,0.02,0.02,0.02,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB","GB","averageWeighted","Aaron Ripkowski",4,2015,105,361,0.02,0.02,0.02,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB","GB","cbs","Aaron Ripkowski",4,2015,97,323,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","GB","average","Aaron Rodgers",5,2015,6,63,11.582,9.76,13.404,34.2,22.3,11.9,250.05,1.75,0.75,3.7,21.6,0.05,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","GB","averageRobust","Aaron Rodgers",5,2015,6,63,11.582,9.76,13.404,34.2,22.3,11.9,250.05,1.75,0.75,3.7,21.6,0.05,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","GB","averageWeighted","Aaron Rodgers",5,2015,6,63,11.582,9.76,13.404,34.2,22.3,11.9,250.05,1.75,0.75,3.7,21.6,0.05,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","GB","cbs","Aaron Rodgers",5,2015,18,93,9.76,9.76,13.404,31.2,20.7,10.5,208,1.5,0.7,3.6,22.8,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","GB","espn","Aaron Rodgers",5,2015,2,40,13.404,9.76,13.404,37.2,23.9,13.3,292.1,2,0.8,3.8,20.4,0.1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMHUMPHRIES","WR","TB","average","Adam Humphries",6,2015,90,218,3.175,2.21,4.14,0,0,0,0,0,0,0,0,0,1.1,14.75,0.1,0,0,0,0,0,0,0,0,0,0,0
"ADAMHUMPHRIES","WR","TB","averageRobust","Adam Humphries",6,2015,90,218,3.175,2.21,4.14,0,0,0,0,0,0,0,0,0,1.1,14.75,0.1,0,0,0,0,0,0,0,0,0,0,0
"ADAMHUMPHRIES","WR","TB","averageWeighted","Adam Humphries",6,2015,90,218,3.175,2.21,4.14,0,0,0,0,0,0,0,0,0,1.1,14.75,0.1,0,0,0,0,0,0,0,0,0,0,0
